timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618845950824,16,api/areas/village/32.17.09,200,OK,Thread Group 1-5,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,16,0,0
1618845950841,309,api/areas/hospital,200,OK,Thread Group 1-5,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,19,0,0
1618845951151,30,api/country,200,OK,Thread Group 1-5,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,29,0,0
1618845950607,569,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-5,,true,,198548,3565,1,1,null,278,6,53
1618845951609,198,api/login,200,OK,Thread Group 1-6,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,198,0,55
1618845951811,30,api/areas/district-city,200,OK,Thread Group 1-6,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,30,0,0
1618845951842,17,api/areas/sub-district/32.17,200,OK,Thread Group 1-6,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,17,0,0
1618845951860,18,api/areas/village/32.17.09,200,OK,Thread Group 1-6,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,18,0,0
1618845951878,197,api/areas/hospital,200,OK,Thread Group 1-6,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,31,0,0
1618845952076,21,api/country,200,OK,Thread Group 1-6,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,18,0,0
1618845951608,481,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-6,,true,,198548,3565,1,1,null,312,5,55
1618845952611,233,api/login,200,OK,Thread Group 1-7,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,233,0,71
1618845952846,269,api/areas/district-city,200,OK,Thread Group 1-7,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,269,0,0
1618845953116,30,api/areas/sub-district/32.17,200,OK,Thread Group 1-7,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,30,0,0
1618845953147,20,api/areas/village/32.17.09,200,OK,Thread Group 1-7,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,20,0,0
1618845953168,290,api/areas/hospital,200,OK,Thread Group 1-7,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,43,0,0
1618845953459,28,api/country,200,OK,Thread Group 1-7,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,25,0,0
1618845952610,870,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-7,,true,,198548,3565,1,1,null,620,7,71
1618845953611,200,api/login,200,OK,Thread Group 1-8,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,200,0,63
1618845953812,41,api/areas/district-city,200,OK,Thread Group 1-8,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,41,0,0
1618845953854,40,api/areas/sub-district/32.17,200,OK,Thread Group 1-8,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,36,0,0
1618845953895,52,api/areas/village/32.17.09,200,OK,Thread Group 1-8,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,51,0,0
1618845953947,273,api/areas/hospital,200,OK,Thread Group 1-8,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,55,0,0
1618845954221,42,api/country,200,OK,Thread Group 1-8,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,40,0,0
1618845953610,648,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-8,,true,,198548,3565,1,1,null,423,5,63
1618845954612,202,api/login,200,OK,Thread Group 1-9,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,202,0,72
1618845954815,34,api/areas/district-city,200,OK,Thread Group 1-9,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,34,0,0
1618845954850,277,api/areas/sub-district/32.17,200,OK,Thread Group 1-9,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,277,0,0
1618845955128,28,api/areas/village/32.17.09,200,OK,Thread Group 1-9,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,28,0,0
1618845955157,220,api/areas/hospital,200,OK,Thread Group 1-9,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,44,0,0
1618845955377,36,api/country,200,OK,Thread Group 1-9,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,34,0,0
1618845954611,797,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-9,,true,,198548,3565,1,1,null,619,6,72
1618845955611,197,api/login,200,OK,Thread Group 1-10,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,197,0,52
1618845955809,33,api/areas/district-city,200,OK,Thread Group 1-10,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,33,0,0
1618845955842,22,api/areas/sub-district/32.17,200,OK,Thread Group 1-10,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,22,0,0
1618845955864,25,api/areas/village/32.17.09,200,OK,Thread Group 1-10,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,25,0,0
1618845955889,250,api/areas/hospital,200,OK,Thread Group 1-10,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,35,0,0
